time,cpu,memory
0.5,4.0,11.84
1.0,2.0,11.84
1.5,0.0,11.84
2.0,4.0,11.84
2.5,0.0,11.84
3.0,4.0,13.09
3.5,4.0,13.09
4.0,6.0,13.09
4.5,6.0,13.09
5.0,6.0,13.09
5.51,8.0,13.09
6.01,8.0,13.09
6.51,10.0,13.09
7.01,8.0,13.09
7.51,8.0,13.09
8.01,8.0,13.09
8.51,8.0,13.09
9.01,8.0,13.09
9.51,8.0,13.09
10.01,8.0,13.09
