time,cpu,memory
0.5,8.0,90.21
1.0,10.0,90.21
1.5,12.0,90.21
2.0,8.0,90.21
2.5,14.0,90.21
3.0,10.0,90.21
3.5,10.0,90.21
4.0,12.0,90.21
4.5,10.0,90.21
5.01,12.0,90.21
5.51,10.0,90.21
6.01,6.0,90.21
6.51,6.0,90.21
7.01,6.0,90.21
7.51,8.0,90.21
8.01,6.0,90.21
8.51,6.0,90.21
9.01,6.0,90.21
9.51,8.0,90.21
10.01,8.0,90.21
